| Nombre | Modelo | DESCRIPCION | PRECIO |
|--------|--------|-------------|----------|
| Lector Biométrico IP Antivandálico XT-5 | XT-5 | (ZK MA500)LECTOR IP DE HUELLA Y PROXIMIDAD CON TECLADO ANTIVANDÁLICO PARA EXTERIOR / ADMINISTRACIÓN CON SOFTWARE O DE MANERA AUTÓNOMA (DIRECTO EN EL TECLADO) / RELEVADOR PARA CHAPA | 3690.00 |
| Videoportero Biométrico DS-K1T501SF | DS-K1T501SF | 2 EN 1 / LECTOR BIOMÉTRICO IP65 CON FUNCIÓN DE VIDEOPORTERO Y LECTOR QR INCLUIDA/ LLAMADA A APP DE SMARTPHONE HIK-CONNECT P2P (NO REQUIERE MONITOR) / SOPORTA TARJETAS - HUELLAS - CÓDIGOS QR / CÁMARA 2 | 3597.24 |
| Barrera Vehicular Derecha 3m XBF-3000-RN | XBF-3000-RN | BARRERA VEHICULAR DERECHA / SOPORTA BRAZO DE HASTA 3 M / APERTURA EN 1.5 S /FINAL DE CARRERA AJUSTABLE POR PROGRAMACIÓN / MOVIMIENTO FLUIDO / DISEÑO ELEGANTE COLOR NARANJA | 22900.00 |
| Barrera Vehicular Izquierda 3m XBF-3000-LN | XBF-3000-LN | BARRERA VEHICULAR IZQUIERDA / SOPORTA BRAZO DE HASTA 3 M / APERTURA EN 1.5 S /FINAL DE CARRERA AJUSTABLE POR PROGRAMACIÓN / MOVIMIENTO FLUIDO / DISEÑO ELEGANTE COLOR NARANJA | 21900.00 |
| Ancla para Sujeción de Barreras XB-ANCLA | XB-ANCLA | ANCLA PARA SUJECIÓN AL PISO COMPATIBLE CON TODAS LAS BARRERAS VEHICULARES XB, XBF Y XBS | 1276.37 |
| Cerradura de Pernos 2000kg Fail Secure PROEB-700C | PROEB-700C | CERRADURA DE PERNO 2000 KG DE SUJECIÓN / CERRADA EN CASO DE FALLA (FAIL SECURE) /TEMPORIZADOR Y SENSOR DE PUERTA | 603.45 |
| Cerradura de Pernos 2000kg Fail Safe PROEB-700A | PROEB-700A | CERRADURA DE PERNO 2000 KG DE SUJECIÓN/ ABIERTA EN CASO DE FALLA (FAIL SAFE)/ CON TEMPORIZADOR Y SENSOR DE PUERTA | 1212.14 |
| Cerradura de Pernos para Vidrio PROEB-500U | PROEB-500U | CERRADURA DE PERNO PARA PUERTAS DE VIDRIO (MARCO DE VIDRIO Y PUERTA DE SOLO VIDRIO) | 1609.10 |
| Cerradura Eléctrica ACCESSRIM | ACCESSRIM | CERRADURA ELÉCTRICA / INCLUYE LLAVE / EXTERIOR /DERECHA | 734.72 |
| Cerradura Eléctrica con Botón ACCESSRIMB | ACCESSRIMB | CERRADURA ELÉCTRICA CON BOTÓN DE SALIDA/ INCLUYE LLAVE / EXTERIOR / DERECHA | 1400.00 |
| Checador Biométrico DS-K1A8503EF-B | DS-K1A8503EF-B | CHECADOR DE HUELLA CON BATERÍA DE RESPALDO / REPORTES POR USB / 1,000 USUARIOS / LECTOR DE TARJETAS EM / USO CON IVMS-4200. | 1264.12 |
| Cerradura Eléctrica Izquierda ACCESSRIMBL | ACCESSRIMBL | CERRADURA ELÉCTRICA CON BOTÓN DE SALIDA/ INCLUYE LLAVE / EXTERIOR / IZQUIERDA | 1200.00 |
| Cerradura Motorizada con Lector ACCESSRIMMOTOR | ACCESSRIMMOTOR | CERRADURA ELÉCTRICA MOTORIZADA / CON LECTOR DE TARJETAS DE PROXIMIDAD (EM 125KHZ) / EXTERIOR | 1127.34 |
| Cerradura Inteligente Zigbee CS-L2S | CS-L2S | CERRADURA INTELIGENTE / PROTOCOLO ZIGBEE / CÓDIGOS TEMPORALES PARA VISITANTES / LECTURA DE HUELLA / LECTURA DE TAG / CONTRASEÑA / BOTÓN PARA TIMBRAR / ALARMA ANTI-INTRUSIÓN / INCLUYE HUB | 4599.00 |
| Cerradura Inteligente con App KDL-3750 | KDL-3750 | CERRADURA INTELIGENTE CON APERTURA A TRAVÉS DE APP / CÓDIGO PARA VISITANTES/SOPORTA HASTA 50 TARJETAS (NO INCLUIDAS)/ CONTRASEÑAS | 3869.73 |
| Cerrojo Digital con Teclado MX89813 | MX89813 | CERROJO DIGITAL CON TECLADO YDD120 / ADICIONADA CON LLAVE DENTADA 5 PERNOS | 5900.00 |
| Chapa Magnética 600 lbs MAG600NLED | MAG600NLED | CHAPA MAGNÉTICA 600 LBS CON LED ULTRA-BRILLANTE/ LIBRE DE MAGNETISMO RESIDUAL / SENSOR DE ESTADO DE LA PLACA | 887.12 |
| Chapa Magnética 1200 lbs MAG1200NLED | MAG1200NLED | CHAPA MAGNÉTICA DE 1200 LBS / SENSOR DE LA PLACA / USO EN INTERIOR/ LED INDICADOR ULTRABRILLANTE | 2160.62 |
| Chapa Magnética 600 lbs DS-K4H258S | DS-K4H258S | CHAPA MAGNÉTICA DE 600 LBS (280 KG) / MONTAJE EN PUERTA NORMAL O DE VIDRIO / CERTIFICADO CE / PARA USO EN INTERIOR / INDICADOR LED / MAGNETISMO ANTI-RESIDUAL | 732.55 |
| Cierrapuertas para 40-65kg ACCESSDC | ACCESSDC | CIERRAPUERTAS PARA PUERTAS DE 40-65 KGS | 653.31 |
| Cierrapuertas Fuerza 4 TSCOMP | TSCOMP | CIERRAPUERTAS FUERZA 4/ PARA PUERTAS DE HASTA 1100 MM DE ANCHO/ COLOR PLATA /CERTIFICACIÓN UL | 941.66 |
| Contrachapa Eléctrica Fail Secure PRO131C2 | PRO131C2 | CONTRACHAPA ELÉCTRICA CERRADA EN CASO DE FALLA ( FAIL SECURE)/ USO EN INTERIOR | 1038.50 |
| Control Llavero para Cercos CA01 | CA01 | CONTROL LLAVERO PARA CERCOS ELECTRIFICADOS | 324.80 |
| Botón de Aro Iluminado Verde APBIVC | APBIVC | BOTÓN DE ARO ILUMINADO COLOR VERDE/ IP65 | 370.00 |
| Botón de Emergencia de Superficie PRO862 | PRO862 | BOTÓN DE EMERGENCIA MONTAJE DE SUPERFICIE IDEAL COMO BOTÓN DE PÁNICO/ CONTACTO NC Y NO | 290.00 |
| Botón de Pánico a Prueba de Fuego ACCESSPA53 | ACCESSPA53 | BOTÓN DE PÁNICO A PRUEBA DE FUEGO / RESTABLECIMIENTO CON LLAVE / TAMAÑO COMPACTO PARA FÁCIL INSTALACIÓN | 258.62 |
| Botón de Pánico Inalámbrico PG9938 | PG9938 | BOTÓN DE PÁNICO INALAMBRICO CON TECNOLOGÍA POWER G COMPATIBLE CON NEO, PRO, QOLSYS E IOTEGA | 1063.97 |
| Botón de Paro de Emergencia APBSEMC | APBSEMC | BOTÓN DE PARO DE EMERGENCIA / SALIDA DE EMERGENCIA EN COLOR ROJO / TIPO ENCLAVADO | 207.53 |
